               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  72,              1.3491,             0.94586,              1.6147,             0.99833,                   1,               0.995,             0.88375,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.3487,             0.91721,              1.5814,             0.99831,                   1,               0.995,             0.86327,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.1632,             0.84122,              1.4565,             0.99829,                   1,               0.995,              0.8942,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.3277,              1.0445,              1.5428,              0.9983,                   1,               0.995,             0.88684,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.0587,             0.86408,              1.3328,             0.99836,                   1,               0.995,             0.82497,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,              1.1747,              0.8871,              1.4131,             0.99818,                   1,               0.995,             0.82084,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.2775,             0.86885,              1.4493,             0.99833,                   1,               0.995,              0.8649,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.0635,             0.83132,              1.5225,             0.99831,                   1,               0.995,             0.86349,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,              1.1305,             0.84891,              1.4317,             0.99765,                   1,               0.995,             0.87793,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.1079,             0.84866,              1.5099,             0.99855,                   1,               0.995,             0.89002,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,               1.147,             0.85848,              1.4211,             0.99848,                   1,               0.995,             0.89862,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.1301,             0.80711,              1.3855,             0.99843,                   1,               0.995,             0.89513,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.2619,             0.89833,              1.3564,             0.99836,                   1,               0.995,             0.93077,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              1.0588,             0.77603,              1.4227,             0.99835,                   1,               0.995,             0.92143,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              1.3165,             0.96929,              1.4052,             0.99833,                   1,               0.995,             0.91589,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,               1.145,             0.81346,               1.428,             0.99806,                   1,               0.995,             0.91251,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,              1.0508,             0.79202,              1.2946,             0.99804,                   1,               0.995,             0.93776,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,              1.0396,             0.77119,              1.4101,             0.99846,                   1,               0.995,             0.90889,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,               1.016,             0.81129,               1.363,             0.99846,                   1,               0.995,              0.9387,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.94105,             0.74889,              1.3226,             0.99845,                   1,               0.995,             0.92279,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,              1.0478,              0.8001,               1.398,             0.99849,                   1,               0.995,             0.91707,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,              1.0142,             0.74143,              1.3299,             0.99851,                   1,               0.995,             0.93974,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.87198,             0.69842,              1.3677,             0.99851,                   1,               0.995,               0.955,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.88311,             0.67154,              1.2587,             0.99848,                   1,               0.995,             0.94548,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,              0.8267,             0.70128,              1.2272,             0.99848,                   1,               0.995,             0.94158,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.97379,             0.72451,              1.3119,             0.99848,                   1,               0.995,             0.94316,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.89102,             0.84076,              1.2645,              0.9985,                   1,               0.995,             0.95007,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.98693,             0.70277,               1.266,             0.99849,                   1,               0.995,             0.93694,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
